participant,Pointing From,Target Building,Correct Ans,Pointing To,Angular Error
560,Harris,Golledge,77.71082192,92.2162,14.50537808
560,Harris,Sauer,110.6574336,109.2169,1.4405336
560,Harvey,Lynch,32.28246429,25.28539,6.99707429
560,Harvey,Golledge,64.9530254,92.78355,27.8305246
560,Harvey,Batty,46.54689912,29.7852,16.76169912
560,Harvey,Sauer,46.29205396,19.78574,26.50631396
560,Harvey,Tobler,42.14615863,105.2825,63.13634137
560,Harvey,Harris,4.196894849,83.78284,79.58594515
560,Harvey,Snow,66.19140238,69.28371,3.09230762
560,Golledge,Tobler,147.0284471,45.9015,101.1269471
560,Golledge,Harvey,139.9309368,173.7448,33.8138632
560,Golledge,Harris,176.2022806,37.90977,138.2925106
560,Golledge,Snow,1.204134401,6.038841,4.834706599
560,Golledge,Sauer,76.21088344,81.89339,5.68250656
560,Golledge,Batty,173.5694617,171.0111,2.5583617
560,Golledge,Lynch,173.9683139,158.5705,15.3978139
560,Snow,Golledge,125.8431145,135.3337,9.4905855
560,Snow,Batty,90.64700942,179.025,88.37799058
560,Snow,Sauer,0.279262352,12.85891,12.57964765
560,Snow,Harvey,119.6929579,115.1578,4.5351579
560,Snow,Tobler,63.69277617,178.6376,114.9448238
560,Snow,Lynch,79.44851915,88.84035,9.39183085
560,Snow,Harris,88.09346154,76.3418,11.75166154
560,Sauer,Harris,4.240040564,77.38491,73.14486944
560,Sauer,Lynch,17.76205492,28.89069,11.12863508
560,Sauer,Golledge,51.85616181,45.88832,5.96784181
560,Sauer,Harvey,23.09134403,43.61546,20.52411597
560,Sauer,Tobler,2.713388186,12.62687,9.913481814
560,Sauer,Batty,6.744508622,85.38302,78.63851138
560,Sauer,Snow,89.63525726,71.88915,17.74610726
560,Tobler,Harris,173.2852643,13.62414,159.6611243
560,Tobler,Sauer,20.69981416,1.481737,19.21807716
560,Tobler,Harvey,147.248191,54.11671,93.131481
560,Tobler,Snow,38.78279809,2.931179,35.85161909
560,Tobler,Batty,171.0086651,54.11765,116.8910151
560,Tobler,Lynch,156.2355625,54.11683,102.1187325
560,Tobler,Golledge,67.30353066,7.134269,60.16926166
584,Batty,Harris,37.5286373,94.67644,57.1478027
584,Batty,Snow,48.19947553,119.6733,71.47382447
584,Batty,Lynch,47.32798389,39.32839,7.99959389
584,Batty,Golledge,51.76768154,95.67601,43.90832846
584,Batty,Harvey,93.19423766,80.17596,13.01827766
584,Batty,Sauer,30.3316951,72.67719,42.3454949
584,Batty,Tobler,37.30802198,84.67687,47.36884802
584,Lynch,Harris,7.021704671,5.78977,1.231934671
584,Lynch,Tobler,17.95076442,76.75276,58.80199558
584,Lynch,Harvey,48.19593801,36.7582,11.43773801
584,Lynch,Snow,8.968174613,76.25394,67.28576539
584,Lynch,Batty,130.6542463,133.7482,3.0939537
584,Lynch,Golledge,3.323863738,57.25482,53.93095626
584,Lynch,Sauer,29.20903342,70.7542,41.54516658
584,Harris,Sauer,110.6574336,64.28497,46.3724636
584,Harris,Golledge,77.71082192,38.78358,38.92724192
584,Harris,Lynch,114.5627943,111.7832,2.7795943
584,Harris,Batty,83.35216568,81.28172,2.07044568
584,Harris,Harvey,2.146796904,1.755243,0.391553904
584,Harris,Snow,84.7281122,38.28442,46.4436922
584,Harris,Tobler,99.95984558,40.28394,59.67590558
584,Harvey,Harris,4.196894849,6.29345,2.096555151
584,Harvey,Tobler,42.14615863,168.7107,126.5645414
584,Harvey,Batty,46.54689912,40.21846,6.32843912
584,Harvey,Snow,66.19140238,163.7129,97.52149762
584,Harvey,Sauer,46.29205396,162.7788,116.486746
584,Harvey,Lynch,32.28246429,163.2131,130.9306357
584,Harvey,Golledge,64.9530254,14.72165,50.2313754
584,Golledge,Sauer,76.21088344,77.39218,1.18129656
584,Golledge,Snow,1.204134401,4.112279,2.908144599
584,Golledge,Harris,176.2022806,89.11123,87.0910506
584,Golledge,Batty,173.5694617,60.62164,112.9478217
584,Golledge,Harvey,139.9309368,91.60999,48.3209468
584,Golledge,Lynch,173.9683139,146.3647,27.6036139
584,Golledge,Tobler,147.0284471,81.61469,65.4137571
584,Snow,Tobler,63.69277617,62.34461,1.34816617
584,Snow,Harris,88.09346154,143.336,55.24253846
584,Snow,Harvey,119.6929579,144.3353,24.6423421
584,Snow,Lynch,79.44851915,162.3235,82.87498085
584,Snow,Sauer,0.279262352,1.109241,0.829978648
584,Snow,Batty,90.64700942,161.8262,71.17919058
584,Snow,Golledge,125.8431145,113.8375,12.0056145
584,Sauer,Snow,89.63525726,89.38255,0.25270726
584,Sauer,Batty,6.744508622,62.38944,55.64493138
584,Sauer,Harvey,23.09134403,49.88328,26.79193597
584,Sauer,Harris,4.240040564,41.38869,37.14864944
584,Sauer,Lynch,17.76205492,56.88662,39.12456508
584,Sauer,Golledge,51.85616181,1.956948,49.89921381
584,Sauer,Tobler,2.713388186,51.88715,49.17376181
584,Tobler,Snow,38.78279809,40.1175,1.33470191
584,Tobler,Batty,171.0086651,68.11744,102.8912251
584,Tobler,Lynch,156.2355625,73.61699,82.6185725
584,Tobler,Harris,173.2852643,110.1151,63.1701643
584,Tobler,Golledge,67.30353066,79.61682,12.31328934
584,Tobler,Harvey,147.248191,4.912707,142.335484
584,Tobler,Sauer,20.69981416,93.61711,72.91729584
607,Batty,Tobler,37.30802198,71.67755,34.36952802
607,Batty,Golledge,51.76768154,59.6783,7.91061846
607,Batty,Harvey,93.19423766,64.32566,28.86857766
607,Batty,Snow,48.19947553,76.82569,28.62621447
607,Batty,Sauer,30.3316951,0.7999081,29.531787
607,Batty,Lynch,47.32798389,76.32616,28.99817611
607,Batty,Harris,37.5286373,25.83601,11.6926273
607,Lynch,Tobler,17.95076442,6.786107,11.16465742
607,Lynch,Batty,130.6542463,137.7482,7.0939537
607,Lynch,Golledge,3.323863738,72.25327,68.92940626
607,Lynch,Snow,8.968174613,158.2428,149.2746254
607,Lynch,Sauer,29.20903342,45.2546,16.04556658
607,Lynch,Harris,7.021704671,28.75378,21.73207533
607,Lynch,Harvey,48.19593801,31.75809,16.43784801
607,Harris,Lynch,114.5627943,120.7808,6.2180057
607,Harris,Sauer,110.6574336,11.2234,99.4340336
607,Harris,Batty,83.35216568,132.2824,48.93023432
607,Harris,Snow,84.7281122,151.281,66.5528878
607,Harris,Golledge,77.71082192,102.7833,25.07247808
607,Harris,Harvey,2.146796904,98.28294,96.1361431
607,Harris,Tobler,99.95984558,31.71935,68.24049558
607,Harvey,Snow,66.19140238,12.28797,53.90343238
607,Harvey,Sauer,46.29205396,22.28572,24.00633396
607,Harvey,Tobler,42.14615863,153.7146,111.5684414
607,Harvey,Harris,4.196894849,168.2769,164.0800052
607,Harvey,Batty,46.54689912,110.7171,64.17020088
607,Harvey,Lynch,32.28246429,162.2789,129.9964357
607,Harvey,Golledge,64.9530254,45.28391,19.6691154
607,Golledge,Snow,1.204134401,3.183892,1.979757599
