participant,date,model number,building,x,y,error
4908,3/1/2019 12:35,0,Golledge Hall,376,304,188.4489321
4908,3/1/2019 12:35,0,Snow Church,496,430,314.6823796
4908,3/1/2019 12:35,0,Sauer Center,601,324,319.9015474
4908,3/1/2019 12:35,0,Tobler Museum,617,175,134.8517705
4952,2/11/2019 13:03,0,Batty House,92,440,180.1360597
4952,2/11/2019 13:03,0,Lynch Station,72,267,155.0774
4952,2/11/2019 13:03,0,Harris Hall,308,289,112.3298714
4952,2/11/2019 13:03,0,Harvey House,404,409,133.7011593
4952,2/11/2019 13:03,0,Golledge Hall,483,273,82.97590012
4952,2/11/2019 13:03,0,Snow Church,594,434,259.4706149
4952,2/11/2019 13:03,0,Sauer Center,684,373,372.6996109
4952,2/11/2019 13:03,0,Tobler Museum,638,292,223.4390297
5139,11/9/2018 12:43,0,Batty House,146,62,241.3731551
5139,11/9/2018 12:43,0,Lynch Station,261,157,251.1772283
5139,11/9/2018 12:43,0,Harris Hall,184,357,134.617978
5139,11/9/2018 12:43,0,Harvey House,649,388,368.0135867
5139,11/9/2018 12:43,0,Golledge Hall,647,199,123.9072234
5139,11/9/2018 12:43,0,Snow Church,713,56,149.0301983
5139,11/9/2018 12:43,0,Sauer Center,549,34,81.34494453
5139,11/9/2018 12:43,0,Tobler Museum,351,36,166.0120478
5140,11/9/2018 13:43,0,Lynch Station,49,216,99.16148446
5140,11/9/2018 13:43,0,Batty House,47,391,120.6689687
5140,11/9/2018 13:43,0,Golledge Hall,431,383,161.7188919
5140,11/9/2018 13:43,0,Harris Hall,449,251,235.3316808
5140,11/9/2018 13:43,0,Harvey House,269,91,394.7923505
5140,11/9/2018 13:43,0,Snow Church,485,145,238.6650372
5140,11/9/2018 13:43,0,Sauer Center,579,224,223.7789087
5140,11/9/2018 13:43,0,Tobler Museum,125,80,370.3889847
5663,3/11/2019 14:30,0,Batty House,662,462,662.8159624
5663,3/11/2019 14:30,0,Harvey House,411,48,452.3914234
5663,3/11/2019 14:30,0,Lynch Station,444,384,504.206307
5663,3/11/2019 14:30,0,Golledge Hall,57,86,546.8765857
5663,3/11/2019 14:30,0,Harris Hall,413,237,198.3053202
5663,3/11/2019 14:30,0,Snow Church,23,298,699.2124141
5663,3/11/2019 14:30,0,Sauer Center,207,248,483.5007756
5663,3/11/2019 14:30,0,Tobler Museum,87,393,488.1362515
5839,2/26/2019 12:24,0,Tobler Museum,609,12,159.8624409
5839,2/26/2019 12:24,0,Sauer Center,8,26,617.357271
5839,2/26/2019 12:24,0,Golledge Hall,255,23,409.0293388
5839,2/26/2019 12:24,0,Snow Church,226,260,493.0770731
5839,2/26/2019 12:24,0,Lynch Station,288,440,419.561676
5839,2/26/2019 12:24,0,Batty House,90,503,239.4368393
5839,2/26/2019 12:24,0,Harris Hall,717,312,509.3132631
5839,2/26/2019 12:24,0,Harvey House,479,239,307.8002599
5867,11/13/2018 13:27,0,Lynch Station,151,17,175.4137965
5867,11/13/2018 13:27,0,Batty House,48,64,209.0574084
5867,11/13/2018 13:27,0,Harris Hall,173,252,49.39635614
5867,11/13/2018 13:27,0,Harvey House,694,467,400.4047952
5867,11/13/2018 13:27,0,Sauer Center,576,267,266.5426795
5867,11/13/2018 13:27,0,Tobler Museum,197,468,455.3372377
5867,11/13/2018 13:27,0,Golledge Hall,441,181,165.0121208
5867,11/13/2018 13:27,0,Snow Church,430,441,370.799137
5869,11/2/2018 13:29,0,Snow Church,472,258,249.6898076
5869,11/2/2018 13:29,0,Sauer Center,415,53,215.4158769
5869,11/2/2018 13:29,0,Harvey House,425,480,131.0953851
5869,11/2/2018 13:29,0,Golledge Hall,500,355,90.50966799
5869,11/2/2018 13:29,0,Harris Hall,165,310,97.75479528
5869,11/2/2018 13:29,0,Lynch Station,87,90,82.3468275
5869,11/2/2018 13:29,0,Batty House,-1,231,49.64876635
5869,11/2/2018 13:29,0,Tobler Museum,244,33,264.4276839
AJ,2/4/2019 12:39,0,Golledge Hall,246,463,361.5356137
AJ,2/4/2019 12:39,0,Snow Church,436,334,308.2872038
AJ,2/4/2019 12:39,0,Sauer Center,282,159,375.9853721
AJ,2/4/2019 12:39,0,Tobler Museum,57,286,465.8240011
AJ,2/4/2019 12:39,0,Lynch Station,79,67,87.96590248
AJ,2/4/2019 12:39,0,Harris Hall,456,103,270.5734651
AJ,2/4/2019 12:39,0,Batty House,539,299,512.7114198
AJ,2/4/2019 12:39,0,Harvey House,594,438,303.6593486
AT,3/18/2019 13:13,0,Batty House,44,284,20.80865205
AT,3/18/2019 13:13,0,Lynch Station,116,196,126.4911064
AT,3/18/2019 13:13,0,Harvey House,289,382,103.1212878
AT,3/18/2019 13:13,0,Golledge Hall,480,196,126.8108828
AT,3/18/2019 13:13,0,Harris Hall,376,181,167.1705716
AT,3/18/2019 13:13,0,Snow Church,443,344,306.3494736
AT,3/18/2019 13:13,0,Sauer Center,613,390,385.1869676
AT,3/18/2019 13:13,0,Tobler Museum,484,469,347.1166951
AU,3/25/2019 13:05,0,Lynch Station,4,416,292.1095685
AU,3/25/2019 13:05,0,Golledge Hall,7,21,618.9903069
AU,3/25/2019 13:05,0,Tobler Museum,580,30,126.6214832
AU,3/25/2019 13:05,0,Sauer Center,422,253,320.4886893
AU,3/25/2019 13:05,0,Snow Church,334,208,382.0117799
AU,3/25/2019 13:05,0,Harvey House,387,159,339.0058997
AU,3/25/2019 13:05,0,Harris Hall,289,236,74.67261881
AU,3/25/2019 13:05,0,Batty House,251,221,229.7324531
AZ,2/18/2019 11:30,0,Batty House,64,500,230.9826833
AZ,2/18/2019 11:30,0,Lynch Station,-9,351,227.9692962
AZ,2/18/2019 11:30,0,Harris Hall,231,271,47.75981575
AZ,2/18/2019 11:30,0,Harvey House,345,468,53.75872022
AZ,2/18/2019 11:30,0,Golledge Hall,569,178,113.1105654
AZ,2/18/2019 11:30,0,Snow Church,479,73,271.2802978
AZ,2/18/2019 11:30,0,Sauer Center,276,59,353.1529414
AZ,2/18/2019 11:30,0,Tobler Museum,331,252,207.7113382
BB,3/15/2019 12:44,0,Batty House,55,95,179.2010045
BB,3/15/2019 12:44,0,Lynch Station,168,29,182.6499384
BB,3/15/2019 12:44,0,Harris Hall,291,392,182.5705343
BB,3/15/2019 12:44,0,Harvey House,83,383,234.3608329
BB,3/15/2019 12:44,0,Golledge Hall,436,102,228.2651966
BB,3/15/2019 12:44,0,Tobler Museum,480,451,329.2567387
BB,3/15/2019 12:44,0,Sauer Center,636,139,134.4507345
BB,3/15/2019 12:44,0,Snow Church,632,351,168.4399003
BF,3/15/2019 13:35,0,Batty House,526,38,551.1415426
BF,3/15/2019 13:35,0,Lynch Station,546,121,534.0084269
BF,3/15/2019 13:35,0,Golledge Hall,417,476,236.292192
BF,3/15/2019 13:35,0,Snow Church,518,377,262.2746652
BF,3/15/2019 13:35,0,Sauer Center,383,221,324.3763247
BF,3/15/2019 13:35,0,Tobler Museum,177,292,358.8258631
BF,3/15/2019 13:35,0,Harvey House,61,57,487.312015
BF,3/15/2019 13:35,0,Harris Hall,301,54,192.3018461
BX,2/18/2019 10:42,0,Batty House,40,482,210.4019962
BX,2/18/2019 10:42,0,Lynch Station,1,221,97.62171889
BX,2/18/2019 10:42,0,Harvey House,479,425,194.4865034
BX,2/18/2019 10:42,0,Harris Hall,300,253,89.18520057
BX,2/18/2019 10:42,0,Golledge Hall,639,306,76.4852927
BX,2/18/2019 10:42,0,Tobler Museum,424,153,75.6439026
BX,2/18/2019 10:42,0,Sauer Center,581,41,56.85068161
BX,2/18/2019 10:42,0,Snow Church,716,171,34
CA,10/23/2018 12:35,0,Lynch Station,17,284,160.0781059
CA,10/23/2018 12:35,0,Golledge Hall,518,192,109.1650127
CA,10/23/2018 12:35,0,Snow Church,614,88,155.2191998
CA,10/23/2018 12:35,0,Sauer Center,454,12,171.1432149
CA,10/23/2018 12:35,0,Tobler Museum,255,70,243.6144495
CA,10/23/2018 12:35,0,Harris Hall,257,363,143.2934053
CA,10/23/2018 12:35,0,Harvey House,429,463,136.7808466
CA,10/23/2018 12:35,0,Batty House,99,486,225.7875107
CR,12/21/2018 12:23,0,Batty House,33,395,123.1462545
CR,12/21/2018 12:23,0,Lynch Station,6,240,116.1550688
CR,12/21/2018 12:23,0,Harris Hall,269,275,72.9177619
CR,12/21/2018 12:23,0,Harvey House,394,292,217.368351
CR,12/21/2018 12:23,0,Golledge Hall,236,103,378.0581966
CR,12/21/2018 12:23,0,Snow Church,648,120,108.853112
CR,12/21/2018 12:23,0,Sauer Center,492,42,138.0507153
CR,12/21/2018 12:23,0,Tobler Museum,586,255,162.2898641
CY,12/18/2018 10:36,0,Batty House,39,123,149.4824404
CY,12/18/2018 10:36,0,Lynch Station,145,44,155.2063143
CY,12/18/2018 10:36,0,Golledge Hall,635,259,77.87810989
CY,12/18/2018 10:36,0,Snow Church,380,312,352.6258641
CY,12/18/2018 10:36,0,Sauer Center,431,433,469.9148859
CY,12/18/2018 10:36,0,Tobler Museum,644,480,388.542147
CY,12/18/2018 10:36,0,Harvey House,407,144,359.2352989
CY,12/18/2018 10:36,0,Harris Hall,229,254,31.30495168
